ID,False_ID,LON,LAT,Species_Na,Family,Vegetation,Life_Form,No_of_Indi
2952,1-And-27,92.81229143,12.12951578,Acanthus ebracteatus,Acanthaceae,Mangrove,S,1
4451,1-And-349,92.64861111,11.64647222,Acanthus ebracteatus,Acanthaceae,Mangrove,S,5
5014,1-And-371,92.73314547,11.69898553,Acronychia pedunculata,Rutaceae,Avicennia,S,1
59539,1-Nic-56,93.64582756,7.121034961,Acronychia pedunculata,Rutaceae,Littoral Swamp,S,1
59555,1-Nic-56,93.64582756,7.121034961,Acronychia pedunculata,Rutaceae,Littoral Swamp,S,2
58527,1-Nic-37,93.83938545,6.770145774,Acronychia pedunculata,Rutaceae,Lowland swamp,S,2
3904,1-And-321,92.59138889,11.56805556,Acronychia pedunculata,Rutaceae,Rhizophora,S,4
4359,1-And-343,92.62808459,11.43994305,Acronychia pedunculata,Rutaceae,Rhizophora,S,1
59499,1-Nic-54,93.33388889,7.948111111,Acronychia pedunculata,Rutaceae,Rhizophora,S,2
59508,1-Nic-55,92.78252778,12.25444444,Acronychia pedunculata,Rutaceae,Syzigium swamp,S,1
59404,1-Nic-520,93.85222222,6.818277778,Acrostichum aureum,Aristolochiaceae,Littoral Swamp,H,1
2963,1-And-271,92.90600318,12.47295168,Acrostichum aureum,Acanthaceae,Mangrove,H,1
4080,1-And-332,92.7308599,11.55975605,Acrostichum aureum,Acanthaceae,Mangrove,H,12
5345,1-And-386,92.724,12.10219444,Actephila excelsa,Euphorbiaceae,Mangrove,S,1
8638,1-And-601,92.57286111,10.80094665,Adenanthera pavonina,Mimosaceae,Littoral Swamp,T,1
8752,1-And-605,92.4870165,10.51861259,Adenanthera pavonina,Mimosaceae,Littoral Swamp,T,1
4408,1-And-348,92.64855556,11.644,Adenanthera pavonina,Mimosaceae,Mangrove,T,1
3896,1-And-321,92.59138889,11.56805556,Adenanthera pavonina,Mimosaceae,Rhizophora,T,2
59519,1-Nic-55,92.78252778,12.25444444,Adenia penangiana,Passifloraceae,Syzigium swamp,H,1
59636,1-Nic-8,93.51222222,8.036083333,Adenostemma lavenia,Asteraceae,Rhizophora,H,1
2959,1-And-271,92.90600318,12.47295168,Aegiceras corniculatum,Myrsinaceae,Mangrove,S,1
10374,1-And-77,92.7695084,12.21851976,Aegiceras corniculatum,Rubiaceae,Mangrove,S,1
807,1-And-127,93.04662982,11.83894308,Aegiceras corniculatum,Rubiaceae,Rhizophora,S,1
500,1-And-118,93.05612671,11.84197222,Aglaia hiernii,Meliaceae,Rhizophora,T,1
10337,1-And-71,92.75241667,12.24408333,Aglaia hiernii,Meliaceae,Rhizophora,T,1
59540,1-Nic-56,93.64582756,7.121034961,Aglaia lawii,Meliaceae,Littoral Swamp,T,1
5324,1-And-386,92.724,12.10219444,Aglaia lawii,Meliaceae,Mangrove,T,1
5347,1-And-386,92.724,12.10219444,Aglaia lawii,Meliaceae,Mangrove,T,4
517,1-And-118,93.05612671,11.84197222,Aglaia lawii,Meliaceae,Rhizophora,T,1
3846,1-And-317,92.54945387,11.5617699,Aglaia lawii,Meliaceae,Rhizophora,T,4
3998,1-And-328,92.53766667,11.58425,Aglaia lawii,Meliaceae,Rhizophora,T,1
4016,1-And-328,92.53766667,11.58425,Aglaia lawii,Meliaceae,Rhizophora,T,6
4712,1-And-36,92.76055556,12.15152778,Aglaia lawii,Meliaceae,Rhizophora,T,4
4960,1-And-37,93.83938545,6.770145774,Aglaia lawii,Meliaceae,Rhizophora,T,1
10351,1-And-71,92.75241667,12.24408333,Aglaia lawii,Meliaceae,Rhizophora,T,7
9998,1-And-638,92.46770231,10.53464675,Aglaia oligophylla,Meliaceae,Littoral Swamp,T,1
7895,1-And-531,92.79564025,12.90798919,Aglaia oligophylla,Meliaceae,Mangrove,T,1
8788,1-And-606,92.50716667,10.51374617,Aglaia spectabilis,Meliaceae,Littoral Swamp,T,10
8796,1-And-606,92.50716667,10.51374617,Aglaia spectabilis,Meliaceae,Littoral Swamp,T,30
3639,1-And-31,92.80278045,12.13192262,Aglaia spectabilis,Meliaceae,Mangrove,T,31
4409,1-And-348,92.64855556,11.644,Aglaia spectabilis,Meliaceae,Mangrove,T,1
4552,1-And-355,92.61352778,11.69780556,Aglaia spectabilis,Meliaceae,Mangrove,T,2
5325,1-And-386,92.724,12.10219444,Aglaia spectabilis,Meliaceae,Mangrove,T,1
59405,1-Nic-520,93.85222222,6.818277778,Aglaonema simplex,Araceae,Littoral Swamp,H,3
3999,1-And-328,92.53766667,11.58425,Albizia chinensis,Fabaceae,Rhizophora,T,1
1618,1-And-219,92.87647222,12.88469444,Albizia lebbeck,Fabaceae,Mangrove,T,1
4434,1-And-348,92.64855556,11.644,Albizia lebbeck,Fabaceae,Mangrove,T,1
7896,1-And-531,92.79564025,12.90798919,Albizia lebbeck,Fabaceae,Mangrove,T,1
784,1-And-126,93.04730429,11.83915955,Albizia lebbeck,Fabaceae,Rhizophora,T,1
803,1-And-126,93.04730429,11.83915955,Albizia lebbeck,Mimosaceae,Rhizophora,T,6
4426,1-And-348,92.64855556,11.644,Albizia saman,Mimosaceae,Mangrove,T,1
59449,1-Nic-523,93.39619178,7.995731012,Allophylus cobbe,Sapindaceae,Littoral Swamp,S,1
59454,1-Nic-523,93.39619178,7.995731012,Allophylus cobbe,Sapindaceae,Littoral Swamp,S,1
59509,1-Nic-55,92.78252778,12.25444444,Alstonia kurzii,Apocynaceae,Syzigium swamp,T,1
3835,1-And-317,92.54945387,11.5617699,Alstonia macrophylla,Apocynaceae,Rhizophora,T,1
59548,1-Nic-56,93.64582756,7.121034961,Amoora aherniana,Meliaceae,Littoral Swamp,T,4
58518,1-Nic-37,93.83938545,6.770145774,Amoora aherniana,Meliaceae,Lowland swamp,T,1
59637,1-Nic-8,93.51222222,8.036083333,Anacolosa frutescens,Olacaceae,Rhizophora,T,2
5015,1-And-371,92.73314547,11.69898553,Anaxagorea luzonensis,Annonaceae,Avicennia,S,1
1686,1-And-222,92.84825,12.86038889,Anaxagorea luzonensis,Annonaceae,Mangrove,S,1
59406,1-Nic-520,93.85222222,6.818277778,Angiopteris lygodiifolia,Angiopteridaceae,Littoral Swamp,H,1
3817,1-And-316,92.5411913,11.56309929,Antiaris toxicaria,Moraceae,Rhizophora,T,1
3883,1-And-321,92.59138889,11.56805556,Antiaris toxicaria,Moraceae,Rhizophora,T,1
4349,1-And-343,92.62808459,11.43994305,Antiaris toxicaria,Moraceae,Rhizophora,T,1
4456,1-And-35,92.59400299,11.97354753,Antidesma acuminatum,Euphorbiaceae,Mangrove,T,4
58593,1-Nic-41,93.91160813,7.032627214,Aporosa villosa,Euphorbiaceae,Littoral Swamp,T,1
58603,1-Nic-42,93.91141369,7.032599437,Aporosa villosa,Euphorbiaceae,Littoral Swamp,T,1
58627,1-Nic-42,93.91141369,7.032599437,Aporosa villosa,Euphorbiaceae,Littoral Swamp,T,4
59556,1-Nic-56,93.64582756,7.121034961,Aporosa villosa,Euphorbiaceae,Littoral Swamp,T,6
58647,1-Nic-43,93.90684509,7.02976304,Aporosa villosa,Euphorbiaceae,Lowland swamp,T,1
58657,1-Nic-43,93.90684509,7.02976304,Aporosa villosa,Euphorbiaceae,Lowland swamp,T,1
58604,1-Nic-42,93.91141369,7.032599437,Ardisia solanacea,Myrsinaceae,Littoral Swamp,S,1
59378,1-Nic-520,93.85222222,6.818277778,Ardisia solanacea,Myrsinaceae,Littoral Swamp,S,1
59394,1-Nic-520,93.85222222,6.818277778,Ardisia solanacea,Myrsinaceae,Littoral Swamp,S,1
58528,1-Nic-37,93.83938545,6.770145774,Ardisia solanacea,Myrsinaceae,Lowland swamp,S,2
58648,1-Nic-43,93.90684509,7.02976304,Ardisia solanacea,Myrsinaceae,Lowland swamp,S,1
5340,1-And-386,92.724,12.10219444,Areca triandra,Arecaceae,Mangrove,T,2
4015,1-And-328,92.53766667,11.58425,Areca triandra,Arecaceae,Rhizophora,T,1
59626,1-Nic-8,93.51222222,8.036083333,Areca triandra,Arecaceae,Rhizophora,T,1
59531,1-Nic-55,92.78252778,12.25444444,Aristolochia jackii,Aristolochiaceae,Syzigium swamp,C,1
8748,1-And-604,92.53820467,10.53271642,Artocarpus chaplasha,Moraceae,Littoral Swamp,T,6
785,1-And-126,93.04730429,11.83915955,Artocarpus gomezianus,Moraceae,Rhizophora,T,1
7897,1-And-531,92.79564025,12.90798919,Artocarpus lakoocha,Moraceae,Mangrove,T,1
804,1-And-126,93.04730429,11.83915955,Artocarpus lakoocha,Moraceae,Rhizophora,T,4
5326,1-And-386,92.724,12.10219444,Astragalus hamosus,Polygalaceae,Mangrove,H,1
4713,1-And-36,92.76055556,12.15152778,Astragalus hamosus,Polygalaceae,Rhizophora,H,8
5446,1-And-39,93.86184804,6.81914054,Astragalus hamosus,Polygalaceae,Rhizophora,H,2
58649,1-Nic-43,93.90684509,7.02976304,Atalantia monophylla,Rutaceae,Lowland swamp,T,1
58658,1-Nic-43,93.90684509,7.02976304,Atalantia monophylla,Rutaceae,Lowland swamp,T,4
1629,1-And-219,92.87647222,12.88469444,Atalantia monophylla,Rutaceae,Mangrove,T,8
4980,1-And-37,93.83938545,6.770145774,Atalantia monophylla,Rutaceae,Rhizophora,T,1
4991,1-And-37,93.83938545,6.770145774,Atalantia monophylla,Rutaceae,Rhizophora,T,6
5437,1-And-39,93.86184804,6.81914054,Atalantia monophylla,Rutaceae,Rhizophora,T,8
5447,1-And-39,93.86184804,6.81914054,Atalantia monophylla,Rutaceae,Rhizophora,T,16
10361,1-And-71,92.75241667,12.24408333,Atalantia monophylla,Rutaceae,Rhizophora,T,6
59520,1-Nic-55,92.78252778,12.25444444,Atalantia monophylla,Rutaceae,Syzigium swamp,T,4
2918,1-And-268,92.94947222,12.61830556,Avicennia marina,Avicenniaceae,Mangrove,T,1
2919,1-And-268,92.94947222,12.61830556,Avicennia marina,Avicenniaceae,Mangrove,T,1
3647,1-And-310,92.71202853,11.79844243,Avicennia marina,Avicenniaceae,Xylocarpus,T,1
2472,1-And-249,92.85,12.49930556,Avicennia officinalis,Avicenniaceae,Mangrove,T,1
3333,1-And-29,92.80900556,12.13426635,Avicennia officinalis,Avicenniaceae,Mangrove,T,1
3369,1-And-292,92.77127778,12.33475,Avicennia officinalis,Avicenniaceae,Mangrove,T,1
3372,1-And-293,93.08669305,12.24518081,Avicennia officinalis,Avicenniaceae,Mangrove,T,1
3376,1-And-294,92.78981826,12.32293373,Avicennia officinalis,Avicenniaceae,Mangrove,T,1
4078,1-And-332,92.7308599,11.55975605,Avicennia officinalis,Avicenniaceae,Mangrove,T,1
3648,1-And-310,92.71202853,11.79844243,Avicennia officinalis,Avicenniaceae,Xylocarpus,T,1
4539,1-And-355,92.61352778,11.69780556,Baccaurea ramiflora,Euphorbiaceae,Mangrove,T,1
8653,1-And-601,92.57286111,10.80094665,Bambusa schizostachyoides,Rubiaceae,Littoral Swamp,S,6
1622,1-And-219,92.87647222,12.88469444,Bambusa schizostachyoides,Poaceae,Mangrove,S,5
1628,1-And-219,92.87647222,12.88469444,Bambusa schizostachyoides,Poaceae,Mangrove,S,233
9177,1-And-617,92.59197456,10.67945188,Barleria prionitis,Acanthaceae,Littoral Swamp,S,3
8753,1-And-605,92.4870165,10.51861259,Barringtonia asiatica,Lecithydaceae,Littoral Swamp,T,1
8826,1-And-608,92.42000365,10.60898788,Barringtonia asiatica,Lecithydaceae,Littoral Swamp,T,1
