ID,False_ID,Island,LON,LAT,Species_Na,Family,Vegetation,Life_Form,No_of_Indi
2,1-And-1,Andaman,92.7654,12.1653,Semecarpus prainii,Anacardiaceae,Rhizophora,T,1
3,1-And-1,Andaman,92.7654,12.1653,Spondias pinnata,Anacardiaceae,Rhizophora,T,1
11,1-And-1,Andaman,92.7654,12.1653,Licuala peltata,Arecaceae,Rhizophora,T,4
12,1-And-1,Andaman,92.7654,12.1653,Licuala peltata,Arecaceae,Rhizophora,T,4
9,1-And-1,Andaman,92.7654,12.1653,Diospyros variegata,Ebenaceae,Rhizophora,T,3
7,1-And-1,Andaman,92.7654,12.1653,Hyptis capitata,Lamiaceae,Rhizophora,H,4
1,1-And-1,Andaman,92.7654,12.1653,Lagerstroemia hypoleuca,Lythraceae,Rhizophora,T,1
10,1-And-1,Andaman,92.7654,12.1653,Lagerstroemia hypoleuca,Lythraceae,Rhizophora,T,1
6,1-And-1,Andaman,92.7654,12.1653,Freycinetia insignis,Pandanaceae,Rhizophora,C,8
8,1-And-1,Andaman,92.7654,12.1653,Oplismenus compositus,Poaceae,Rhizophora,H,12
4,1-And-1,Andaman,92.7654,12.1653,Tectona grandis,Verbanaceae,Rhizophora,T,1
5,1-And-1,Andaman,92.7654,12.1653,Cheilocostus speciosus,Zingiberaceae,Rhizophora,H,14
21,1-And-10,Andaman,92.7967,12.1960,Staurogyne lanceolata,Acanthaceae,Tropical Moist deciduous,H,3
29,1-And-10,Andaman,92.7967,12.1960,Polyalthia andamanica,Annonaceae,Tropical Moist deciduous,T,1
26,1-And-10,Andaman,92.7967,12.1960,Carissa spinarum,Apocynaceae,Tropical Moist deciduous,T,13
31,1-And-10,Andaman,92.7967,12.1960,Tabernaemontana alternifolia,Apocynaceae,Tropical Moist deciduous,T,7
34,1-And-10,Andaman,92.7967,12.1960,Tabernaemontana alternifolia,Apocynaceae,Tropical Moist deciduous,T,7
18,1-And-10,Andaman,92.7967,12.1960,Carex cryptostachys,Cyperaceae,Tropical Moist deciduous,H,2
30,1-And-10,Andaman,92.7967,12.1960,Rhynchospora corymbosa,Cyperaceae,Tropical Moist deciduous,H,1
13,1-And-10,Andaman,92.7967,12.1960,Diospyros pyrrhocarpa,Ebenaceae,Tropical Moist deciduous,T,1
17,1-And-10,Andaman,92.7967,12.1960,Pterocarpus dalbergioides,Fabaceae,Tropical Moist deciduous,T,1
28,1-And-10,Andaman,92.7967,12.1960,Leea indica,Leeaceae,Tropical Moist deciduous,S,1
32,1-And-10,Andaman,92.7967,12.1960,Leea indica,Leeaceae,Tropical Moist deciduous,S,8
15,1-And-10,Andaman,92.7967,12.1960,Lagerstroemia hypoleuca,Lythraceae,Tropical Moist deciduous,T,1
25,1-And-10,Andaman,92.7967,12.1960,Phrynium pubinerve,Marantaceae,Tropical Moist deciduous,H,75
14,1-And-10,Andaman,92.7967,12.1960,Knema andamanica,Myristicaceae,Tropical Moist deciduous,T,1
22,1-And-10,Andaman,92.7967,12.1960,Geodorum laxiflorum,Orchidaceae,Tropical Moist deciduous,H,2
23,1-And-10,Andaman,92.7967,12.1960,Oplismenus compositus,Poaceae,Tropical Moist deciduous,H,19
24,1-And-10,Andaman,92.7967,12.1960,Paspalum scrobiculatum,Poaceae,Tropical Moist deciduous,H,2
16,1-And-10,Andaman,92.7967,12.1960,Neonauclea gageana,Rubiaceae,Tropical Moist deciduous,T,1
33,1-And-10,Andaman,92.7967,12.1960,Murraya koenigii,Rutaceae,Tropical Moist deciduous,T,1
27,1-And-10,Andaman,92.7967,12.1960,Ganophyllum falcatum,Sapindaceae,Tropical Moist deciduous,T,1
35,1-And-10,Andaman,92.7967,12.1960,Pterospermum acerifolium,Sterculiaceae,Tropical Moist deciduous,T,2
19,1-And-10,Andaman,92.7967,12.1960,Cheilocostus speciosus,Zingiberaceae,Tropical Moist deciduous,H,1
20,1-And-10,Andaman,92.7967,12.1960,Curcuma mangga,Zingiberaceae,Tropical Moist deciduous,H,1
60,1-And-100,Andaman,92.9900,12.1047,Dracaena spicata,Agavaceae,Tropical Moist deciduous,T,2
75,1-And-100,Andaman,92.9900,12.1047,Dracaena angustifolia,Agavaceae,Tropical Moist deciduous,S,4
49,1-And-100,Andaman,92.9900,12.1047,Tabernaemontana alternifolia,Apocynaceae,Tropical Moist deciduous,T,1
53,1-And-100,Andaman,92.9900,12.1047,Alstonia kurzii,Apocynaceae,Tropical Moist deciduous,T,1
66,1-And-100,Andaman,92.9900,12.1047,Tabernaemontana alternifolia,Apocynaceae,Tropical Moist deciduous,T,9
70,1-And-100,Andaman,92.9900,12.1047,Tabernaemontana alternifolia,Apocynaceae,Tropical Moist deciduous,T,9
54,1-And-100,Andaman,92.9900,12.1047,Calamus palustris,Arecaceae,Tropical Moist deciduous,T,5
55,1-And-100,Andaman,92.9900,12.1047,Calamus pseudorivalis,Arecaceae,Tropical Moist deciduous,C,8
68,1-And-100,Andaman,92.9900,12.1047,Calamus andamanicus,Arecaceae,Tropical Moist deciduous,C,8
69,1-And-100,Andaman,92.9900,12.1047,Calamus palustris,Arecaceae,Tropical Moist deciduous,T,5
56,1-And-100,Andaman,92.9900,12.1047,Canarium euphyllum,Burseraceae,Tropical Moist deciduous,T,3
42,1-And-100,Andaman,92.9900,12.1047,Garcinia cowa,Clusiaceae,Tropical Moist deciduous,T,1
43,1-And-100,Andaman,92.9900,12.1047,Garcinia speciosa,Clusiaceae,Tropical Moist deciduous,T,1
50,1-And-100,Andaman,92.9900,12.1047,Kyllinga nemoralis,Cyperaceae,Tropical Moist deciduous,H,2
39,1-And-100,Andaman,92.9900,12.1047,Diospyros marmorata,Ebenaceae,Tropical Moist deciduous,T,1
40,1-And-100,Andaman,92.9900,12.1047,Diospyros variegata,Ebenaceae,Tropical Moist deciduous,T,1
58,1-And-100,Andaman,92.9900,12.1047,Diospyros marmorata,Ebenaceae,Tropical Moist deciduous,T,5
74,1-And-100,Andaman,92.9900,12.1047,Diospyros marmorata,Ebenaceae,Tropical Moist deciduous,T,4
37,1-And-100,Andaman,92.9900,12.1047,Bischofia javanica,Euphorbiaceae,Tropical Moist deciduous,T,1
45,1-And-100,Andaman,92.9900,12.1047,Macaranga tanarius,Euphorbiaceae,Tropical Moist deciduous,T,1
64,1-And-100,Andaman,92.9900,12.1047,Albizia saman,Fabaceae,Tropical Moist deciduous,T,1
44,1-And-100,Andaman,92.9900,12.1047,Lagerstroemia hypoleuca,Lythraceae,Tropical Moist deciduous,T,1
36,1-And-100,Andaman,92.9900,12.1047,Aglaia lawii,Meliaceae,Tropical Moist deciduous,T,1
52,1-And-100,Andaman,92.9900,12.1047,Aglaia lawii,Meliaceae,Tropical Moist deciduous,T,6
71,1-And-100,Andaman,92.9900,12.1047,Aglaia lawii,Meliaceae,Tropical Moist deciduous,T,8
48,1-And-100,Andaman,92.9900,12.1047,Streblus taxoides,Moraceae,Tropical Moist deciduous,T,1
65,1-And-100,Andaman,92.9900,12.1047,Syzygium samarangense,Myrtaceae,Tropical Moist deciduous,T,2
51,1-And-100,Andaman,92.9900,12.1047,Oplismenus compositus,Poaceae,Tropical Moist deciduous,H,7
46,1-And-100,Andaman,92.9900,12.1047,Murraya paniculata,Rutaceae,Tropical Moist deciduous,T,1
61,1-And-100,Andaman,92.9900,12.1047,Glycosmis pentaphylla,Rutaceae,Tropical Moist deciduous,T,3
62,1-And-100,Andaman,92.9900,12.1047,Murraya koenigii,Rutaceae,Tropical Moist deciduous,T,7
72,1-And-100,Andaman,92.9900,12.1047,Atalantia monophylla,Rutaceae,Tropical Moist deciduous,T,8
41,1-And-100,Andaman,92.9900,12.1047,Diploknema butyracea,Sapotaceae,Tropical Moist deciduous,T,1
59,1-And-100,Andaman,92.9900,12.1047,Diploknema butyracea,Sapotaceae,Tropical Moist deciduous,T,2
63,1-And-100,Andaman,92.9900,12.1047,Planchonella longipetiolata,Sapotaceae,Tropical Moist deciduous,T,2
47,1-And-100,Andaman,92.9900,12.1047,Pterocymbium tinctorium,Sterculiaceae,Tropical Moist deciduous,T,1
76,1-And-100,Andaman,92.9900,12.1047,Pterocymbium tinctorium,Sterculiaceae,Tropical Moist deciduous,T,4
73,1-And-100,Andaman,92.9900,12.1047,Celtis timorensis,Ulmaceae,Tropical Moist deciduous,T,4
38,1-And-100,Andaman,92.9900,12.1047,Celtis timorensis,Ulmaceae,Tropical Moist deciduous,T,1
57,1-And-100,Andaman,92.9900,12.1047,Celtis timorensis,Ulmaceae,Tropical Moist deciduous,T,13
67,1-And-100,Andaman,92.9900,12.1047,Trema cannabina,Ulmaceae,Tropical Moist deciduous,T,2
79,1-And-101,Andaman,92.9904,12.1068,Xylocarpus granatum,Meliaceae,Tropical Semi-evergreen,T,1
77,1-And-101,Andaman,92.9904,12.1068,Ceriops tagal,Rhizophoraceae,Tropical Semi-evergreen,T,1
78,1-And-101,Andaman,92.9904,12.1068,Rhizophora apiculata,Rhizophoraceae,Tropical Semi-evergreen,T,1
84,1-And-102,Andaman,92.9551,12.1084,Dracaena spicata,Agavaceae,Tropical Semi-evergreen,T,1
99,1-And-102,Andaman,92.9551,12.1084,Calamus viminalis,Arecaceae,Tropical Semi-evergreen,S,7
101,1-And-102,Andaman,92.9551,12.1084,Korthalsia laciniosa,Arecaceae,Tropical Semi-evergreen,S,3
104,1-And-102,Andaman,92.9551,12.1084,Pinanga coronata,Arecaceae,Tropical Semi-evergreen,T,5
108,1-And-102,Andaman,92.9551,12.1084,Calamus viminalis,Arecaceae,Tropical Semi-evergreen,S,7
109,1-And-102,Andaman,92.9551,12.1084,Korthalsia laciniosa,Arecaceae,Tropical Semi-evergreen,S,3
111,1-And-102,Andaman,92.9551,12.1084,Pinanga coronata,Arecaceae,Tropical Semi-evergreen,T,5
87,1-And-102,Andaman,92.9551,12.1084,Garcinia cowa,Clusiaceae,Tropical Semi-evergreen,T,1
83,1-And-102,Andaman,92.9551,12.1084,Diospyros marmorata,Ebenaceae,Tropical Semi-evergreen,T,1
82,1-And-102,Andaman,92.9551,12.1084,Pongamia pinnata,Fabaceae,Tropical Semi-evergreen,T,1
102,1-And-102,Andaman,92.9551,12.1084,Leea indica,Leeaceae,Tropical Semi-evergreen,S,3
110,1-And-102,Andaman,92.9551,12.1084,Leea indica,Leeaceae,Tropical Semi-evergreen,S,3
81,1-And-102,Andaman,92.9551,12.1084,Aglaia lawii,Meliaceae,Tropical Semi-evergreen,T,1
97,1-And-102,Andaman,92.9551,12.1084,Aglaia lawii,Meliaceae,Tropical Semi-evergreen,T,1
98,1-And-102,Andaman,92.9551,12.1084,Aglaia spectabilis,Meliaceae,Tropical Semi-evergreen,T,4
80,1-And-102,Andaman,92.9551,12.1084,Adenanthera pavonina,Mimosaceae,Tropical Semi-evergreen,T,1
85,1-And-102,Andaman,92.9551,12.1084,Ficus hispida,Moraceae,Tropical Semi-evergreen,T,1
88,1-And-102,Andaman,92.9551,12.1084,Knema andamanica,Myristicaceae,Tropical Semi-evergreen,T,1
90,1-And-102,Andaman,92.9551,12.1084,Myristica andamanica,Myristicaceae,Tropical Semi-evergreen,T,1
91,1-And-102,Andaman,92.9551,12.1084,Endocomia macrocoma,Myristicaceae,Tropical Semi-evergreen,T,1
103,1-And-102,Andaman,92.9551,12.1084,Myristica andamanica,Myristicaceae,Tropical Semi-evergreen,T,3
95,1-And-102,Andaman,92.9551,12.1084,Syzygium cumini,Myrtaceae,Tropical Semi-evergreen,T,1
96,1-And-102,Andaman,92.9551,12.1084,Geodorum laxiflorum,Orchidaceae,Tropical Semi-evergreen,H,7
89,1-And-102,Andaman,92.9551,12.1084,Murraya paniculata,Rutaceae,Tropical Semi-evergreen,T,1
86,1-And-102,Andaman,92.9551,12.1084,Ganophyllum falcatum,Sapindaceae,Tropical Semi-evergreen,T,1
92,1-And-102,Andaman,92.9551,12.1084,Planchonella longipetiolata,Sapotaceae,Tropical Semi-evergreen,T,1
105,1-And-102,Andaman,92.9551,12.1084,Planchonella longipetiolata,Sapotaceae,Tropical Semi-evergreen,T,1
107,1-And-102,Andaman,92.9551,12.1084,Striga asiatica,Scorphulariaceae,Tropical Semi-evergreen,T,2
93,1-And-102,Andaman,92.9551,12.1084,Pterocymbium tinctorium,Sterculiaceae,Tropical Semi-evergreen,T,1
94,1-And-102,Andaman,92.9551,12.1084,Sterculia villosa,Sterculiaceae,Tropical Semi-evergreen,T,1
106,1-And-102,Andaman,92.9551,12.1084,Sterculia villosa,Sterculiaceae,Tropical Semi-evergreen,T,4
100,1-And-102,Andaman,92.9551,12.1084,Celtis timorensis,Ulmaceae,Tropical Semi-evergreen,T,5
130,1-And-103,Andaman,92.9433,12.0035,Dracaena spicata,Agavaceae,Andaman tropical evergreen,T,3
113,1-And-103,Andaman,92.9433,12.0035,Alstonia kurzii,Apocynaceae,Andaman tropical evergreen,T,1
124,1-And-103,Andaman,92.9433,12.0035,Alstonia kurzii,Apocynaceae,Andaman tropical evergreen,T,3
139,1-And-103,Andaman,92.9433,12.0035,Alstonia kurzii,Apocynaceae,Andaman tropical evergreen,T,15
128,1-And-103,Andaman,92.9433,12.0035,Calamus pseudorivalis,Arecaceae,Andaman tropical evergreen,C,3
137,1-And-103,Andaman,92.9433,12.0035,Calamus andamanicus,Arecaceae,Andaman tropical evergreen,C,3
136,1-And-103,Andaman,92.9433,12.0035,Terminalia bialata,Combretaceae,Andaman tropical evergreen,T,3
