latitude,longitude,count of species,count of life form,count of vegetation
6.7701458,93.8393854,52,4,2
6.8163889,93.8625556,16,4,1
6.8182778,93.8522222,36,4,1
6.8191405,93.861848,28,4,2
6.8194187,93.8079233,4,2,1
7.029763,93.9068451,21,4,1
7.0325994,93.9114137,34,3,1
7.0326272,93.9116081,13,4,1
7.0388308,93.9089261,5,1,1
7.0774014,93.8939086,2,1,1
7.1040004,93.8804457,4,1,1
7.121035,93.6458276,31,3,1
7.1319809,93.8748361,3,1,1
7.9481111,93.3338889,12,3,1
7.995731,93.3961918,12,4,1
8.0360833,93.5122222,32,5,1
10.5137462,92.5071667,9,3,1
10.5186126,92.4870165,19,3,1
10.5327164,92.5382047,20,3,1
10.5346468,92.4677023,15,3,1
10.5368488,92.5433444,21,2,1
10.6089879,92.4200036,15,2,1
10.6794519,92.5919746,17,3,1
10.7788611,92.3931389,16,3,1
10.7815556,92.3887222,8,2,1
10.7843966,92.3863256,12,3,1
10.8009466,92.5728611,24,2,1
10.8594139,92.4637879,14,1,1
11.439943,92.6280846,24,3,1
11.559756,92.7308599,4,2,1
11.56002,92.7296679,1,1,1
11.5617699,92.5494539,12,3,1
11.5630993,92.5411913,14,3,1
11.5680556,92.5913889,24,3,1
11.5681111,92.5913611,13,4,1
11.58425,92.5376667,19,4,1
11.6143599,92.6892595,5,1,1
11.6433889,92.6483889,3,1,1
11.644,92.6485556,33,4,1
11.6464722,92.6486111,5,2,1
11.6978056,92.6135278,28,4,1
11.6989855,92.7331455,24,4,1
11.7186389,92.6138056,3,1,1
11.7984424,92.7120285,5,1,1
11.8260833,92.6598889,6,1,1
11.8389431,93.0466298,2,2,1
11.8391596,93.0473043,29,4,1
11.8419722,93.0561267,27,3,1
11.9735475,92.594003,5,1,1
12.0242869,92.9733229,1,1,1
12.0325694,92.9732832,1,1,1
12.0339722,92.9775,1,1,1
12.06125,93.0009444,2,1,1
12.068808,92.9664896,1,1,1
12.0723434,93.0130679,1,1,1
12.0760833,93.0098056,2,1,1
12.1021944,92.724,22,4,1
12.1131389,93.0535,1,1,1
12.1225833,92.8064444,4,1,1
12.1295158,92.8122914,10,3,1
12.1319226,92.8027804,15,3,1
12.1320966,92.815272,8,4,1
12.1342664,92.8090056,13,3,1
12.1515278,92.7605556,4,2,1
12.1653333,92.7654444,10,3,1
12.2185198,92.7695084,2,2,1
12.2424643,92.7509194,4,1,1
12.2440833,92.7524167,23,2,1
12.2451808,93.086693,4,1,1
12.2544444,92.7825278,28,4,1
12.3229337,92.7898183,4,1,1
12.33475,92.7712778,3,1,1
12.3383056,92.7723333,2,1,1
12.4532283,92.8955368,4,2,1
12.4546727,92.8968702,3,1,1
12.461471,92.9096142,3,1,1
12.4697491,92.9319031,2,1,1
12.4729517,92.9060032,6,3,1
12.473,92.8803333,2,1,1
12.475,92.88233,1,1,1
12.4785924,92.8483555,6,1,1
12.4993056,92.85,4,1,1
12.6183056,92.9494722,4,1,1
12.8603889,92.84825,10,3,1
12.8641944,92.8501944,14,3,1
12.8783333,92.9170833,3,1,1
12.8846944,92.8764722,14,3,1
12.8888056,92.8743056,1,1,1
12.9079892,92.7956402,20,1,1
13.6676667,93.0079465,3,1,1
