ID,False_ID,LON,LAT,Species_Na,Family,Vegetation,Life_Form,No_of_Indi
2952,1-And-27,92.81229143000,12.12951578000,Acanthus ebracteatus,Acanthaceae,Mangrove,S,1
4451,1-And-349,92.64861111000,11.64647222000,Acanthus ebracteatus,Acanthaceae,Mangrove,S,5
5014,1-And-371,92.73314547000,11.69898553000,Acronychia pedunculata,Rutaceae,Avicennia,S,1
59539,1-Nic-56,93.64582756000,7.12103496100,Acronychia pedunculata,Rutaceae,Littoral Swamp,S,1
59555,1-Nic-56,93.64582756000,7.12103496100,Acronychia pedunculata,Rutaceae,Littoral Swamp,S,2
58527,1-Nic-37,93.83938545000,6.77014577400,Acronychia pedunculata,Rutaceae,Lowland swamp,S,2
3904,1-And-321,92.59138889000,11.56805556000,Acronychia pedunculata,Rutaceae,Rhizophora,S,4
4359,1-And-343,92.62808459000,11.43994305000,Acronychia pedunculata,Rutaceae,Rhizophora,S,1
59499,1-Nic-54,93.33388889000,7.94811111100,Acronychia pedunculata,Rutaceae,Rhizophora,S,2
59508,1-Nic-55,92.78252778000,12.25444444000,Acronychia pedunculata,Rutaceae,Syzigium swamp,S,1
59404,1-Nic-520,93.85222222000,6.81827777800,Acrostichum aureum,Aristolochiaceae,Littoral Swamp,H,1
2963,1-And-271,92.90600318000,12.47295168000,Acrostichum aureum,Acanthaceae,Mangrove,H,1
4080,1-And-332,92.73085990000,11.55975605000,Acrostichum aureum,Acanthaceae,Mangrove,H,12
5345,1-And-386,92.72400000000,12.10219444000,Actephila excelsa,Euphorbiaceae,Mangrove,S,1
8638,1-And-601,92.57286111000,10.80094665000,Adenanthera pavonina,Mimosaceae,Littoral Swamp,T,1
8752,1-And-605,92.48701650000,10.51861259000,Adenanthera pavonina,Mimosaceae,Littoral Swamp,T,1
4408,1-And-348,92.64855556000,11.64400000000,Adenanthera pavonina,Mimosaceae,Mangrove,T,1
3896,1-And-321,92.59138889000,11.56805556000,Adenanthera pavonina,Mimosaceae,Rhizophora,T,2
59519,1-Nic-55,92.78252778000,12.25444444000,Adenia penangiana,Passifloraceae,Syzigium swamp,H,1
59636,1-Nic-8,93.51222222000,8.03608333300,Adenostemma lavenia,Asteraceae,Rhizophora,H,1
2959,1-And-271,92.90600318000,12.47295168000,Aegiceras corniculatum,Myrsinaceae,Mangrove,S,1
10374,1-And-77,92.76950840000,12.21851976000,Aegiceras corniculatum,Rubiaceae,Mangrove,S,1
807,1-And-127,93.04662982000,11.83894308000,Aegiceras corniculatum,Rubiaceae,Rhizophora,S,1
500,1-And-118,93.05612671000,11.84197222000,Aglaia hiernii,Meliaceae,Rhizophora,T,1
10337,1-And-71,92.75241667000,12.24408333000,Aglaia hiernii,Meliaceae,Rhizophora,T,1
